issuer;shortRatioAmount;betaAmount;shortPercentAmount;lowAmount;highAmount;Low-High-Ratio;cluster
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#HiltonWorldwideHoldingsInc;4.67;1.3171;0.1261;44.3;116.73;0.3795082669408035;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ScorpioTankersInc;4.39;1.1732;0.1208;8.2066;39.284;0.20890438855513696;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#DCPMidstream,LP;2.49;3.6588;0.0;1.9864;22.8668;0.08686829814403414;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SpireInc;3.66;0.1958;0.6675;50.0773;84.7055;0.5911930158018075;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#NaturalGrocersByVitaminCottage,Inc;2.59;1.1832;2.5909;4.684;15.7;0.298343949044586;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TrinseoS.A;4.73;1.632;2.4151;13.4432;52.69;0.2551375972670336;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WestlakeChemicalPartnersLP;1.64;1.126;0.967;9.5746;24.2;0.3956446280991736;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#EmpireStateRealtyTrust,Inc;3.12;1.2425;0.3043;5.19;13.9421;0.3722538211603704;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EuronavNV;2.19;0.1535;0.5398;6.7357;10.8115;0.6230125329510243;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#QuestDiagnosticsIncorporated;2.35;1.0682;0.2686;71.765;131.1618;0.5471486362645221;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#OlinCorporation;2.57;1.2346;0.0;8.3728;26.43;0.3167915247824442;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Tiffany&Co;2.8;0.7622;0.8593;101.8839;131.8244;0.7728758864064619;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TelephoneAndDataSystems,Inc;1.56;1.2047;0.35600000000000004;13.5564;24.7392;0.5479724485836244;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TheInterpublicGroupOfCompanies,Inc;4.44;0.9953;0.5829;11.1759;24.38;0.4584044298605415;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#GATXCorporation;31.58;1.0667;0.378;49.6162;88.3184;0.5617878041268863;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#JuniperNetworks,Inc;6.57;0.9034;0.5031;14.812;26.0317;0.5689985671316127;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ParkAerospaceCorp;4.24;0.9123;1.2188;8.8383;16.4968;0.5357584501236603;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WhirlpoolCorporation;6.35;1.9081;0.2889;62.4334;205.9655;0.30312552344931554;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#HyattHotelsCorporation;5.64;1.5396;0.2348;24.02;94.7586;0.2534862271076187;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NordicAmericanTankersLimited;3.26;0.653;0.7258;2.1021;8.2259;0.2555465055495448;1
